Stock;Index
NINJ3;IGCX IGNM ITAG
GILD34;BDRX
GOLL4;IBOV IBRA IBXX ICO2 IGCT IGCX ITAG IVBX SMLL
G1FI34;BDRX
GSGI34;BDRX
GPRO34;BDRX
GGPS3;IBRA IGCT IGCX IGNM ITAG SMLL
CGRA3;ITAG
CGRA4;ITAG
GRND3;IBRA ICON IDIV IGCT IGCX IGNM INDX ITAG SMLL
GMAT3;AGFS IBRA ICON IGCT IGCX IGNM ITAG SMLL
NTCO3;IBOV IBRA IBXL IBXX ICO2 ICON IGCT IGCX IGNM INDX ISEE ITAG IVBX MLCX
SBFG3;IBRA ICON IGCT IGCX IGNM ITAG SMLL
SOMA3;IBOV IBRA IBXX ICON IGCT IGCX IGNM ITAG SMLL
G1SK34;BDRX
GUAR3;IBRA ICON IGCT IGCX IGNM ITAG SMLL
HAPV3;IBOV IBRA IBXL IBXX ICON IGCT IGCX IGNM ITAG IVBX MLCX
H1OG34;BDRX
HBRE3;IGCX IGNM ITAG
H1CA34;BDRX
HBOR3;IBRA ICON IGCT IGCX IGNM IMOB ITAG SMLL
HBSA3;AGFS IBRA IGCT IGCX IGNM ITAG SMLL
HOME34;BDRX
HOND34;BDRX
H1ZN34;BDRX
HPQB34;BDRX
H1SB34;BDRX
HYPE3;GPTW IBOV IBRA IBXX ICO2 ICON IGCT IGCX IGNM ITAG IVBX MLCX
IGTI11;IBOV IBRA IBXX IGCT IGCX IMOB ITAG SMLL
PARD3;IBRA ICON IGCT IGCX IGNM ITAG SMLL
I1LM34;BDRX
MEAL3;IBRA ICON IGCT IGCX IGNM ITAG SMLL
IFCM3;IBRA IGCT IGCX IGNM ITAG SMLL
ITLC34;BDRX
INTB3;GPTW IBRA IGCT IGCX IGNM INDX ITAG SMLL
INTU34;BDRX
I1SR34;BDRX
MYPK3;IBRA ICON IDIV IGCT IGCX IGNM INDX ISEE ITAG SMLL
RANI3;AGFS GPTW IBRA IGCT IGCX IGNM IMAT ITAG SMLL
IRBR3;IBOV IBRA IBXX IFNC IGCT IGCX IGNM ITAG SMLL
I1RM34;BDRX
ITSA3;IGCX
ITSA4;IBOV IBRA IBXL IBXX ICO2 IDIV IFNC IGCT IGCX ISEE ITAG IVBX MLCX
ITUB3;IBRA IFNC IGCT IGCX MLCX
